Date, WD,Name,Type
2018-01-01,Monday,New Year's Day,National holiday
2018-02-14,Wednesday,Valentine's Day,Observance
2018-02-16,Friday,Chinese Lunar New Year's Day,National holiday
2018-02-17,Saturday,Second day of Chinese Lunar New Year,National holiday
2018-02-19,Monday,Fourth day of Chinese Lunar New Year,National holiday
2018-03-21,Wednesday,March Equinox,Season
2018-03-30,Friday,Good Friday,National holiday
2018-03-31,Saturday,Holy Saturday,National holiday
2018-04-01,Sunday,Easter Sunday,Observance
2018-04-02,Monday,Easter Monday,National holiday
2018-04-05,Thursday,Tomb Sweeping Day,National holiday
2018-05-01,Tuesday,Labour Day,National holiday
2018-05-13,Sunday,Mother's Day,Observance
2018-05-22,Tuesday,Buddha's Birthday,National holiday
2018-06-17,Sunday,Father's Day,Observance
2018-06-18,Monday,Dragon Boat Festival,National holiday
2018-06-21,Thursday,June Solstice,Season
2018-07-01,Sunday,Hong Kong Special Administrative Region Establishment Day,National holiday
2018-07-02,Monday,Hong Kong Special Administrative Region Establishment Day observed,National holiday
2018-08-25,Saturday,Hungry Ghost Festival,Observance
2018-09-23,Sunday,September Equinox,Season
2018-09-24,Monday,Mid-Autumn Festival,Observance
2018-09-25,Tuesday,Day after Mid-Autumn Festival,National holiday
2018-10-01,Monday,National Day of the People's Republic of China,National holiday
2018-10-06,Saturday,Confucius' Birthday,Observance
2018-10-17,Wednesday,Chung Yeung Festival,National holiday
2018-10-31,Wednesday,Halloween,Observance
2018-12-22,Saturday,December Solstice,Season
2018-12-25,Tuesday,Christmas Day,National holiday
2018-12-26,Wednesday,Boxing Day,National holiday
2018-12-31,Monday,New Year's Eve,Observance
,,,
2017-01-01,Sunday,New Year's Day,National holiday
2017-01-02,Monday,New Year's Day observed,National holiday
2017-01-28,Saturday,Chinese Lunar New Year's Day,National holiday
2017-01-29,Sunday,Second day of Chinese Lunar New Year,National holiday
2017-01-30,Monday,Third day of Chinese Lunar New Year,National holiday
2017-01-31,Tuesday,Fourth day of Chinese Lunar New Year,National holiday
2017-02-14,Tuesday,Valentine's Day,Observance
2017-03-20,Monday,March Equinox,Season
2017-04-04,Tuesday,Tomb Sweeping Day,National holiday
2017-04-14,Friday,Good Friday,National holiday
2017-04-15,Saturday,Holy Saturday,National holiday
2017-04-16,Sunday,Easter Sunday,Observance
2017-04-17,Monday,Easter Monday,National holiday
2017-05-01,Monday,Labour Day,National holiday
2017-05-03,Wednesday,Buddha's Birthday,National holiday
2017-05-14,Sunday,Mother's Day,Observance
2017-05-30,Tuesday,Dragon Boat Festival,National holiday
2017-06-18,Sunday,Father's Day,Observance
2017-06-21,Wednesday,June Solstice,Season
2017-07-01,Saturday,Hong Kong Special Administrative Region Establishment Day,National holiday
2017-09-05,Tuesday,Hungry Ghost Festival,Observance
2017-09-23,Saturday,September Equinox,Season
2017-10-01,Sunday,National Day of the People's Republic of China,National holiday
2017-10-02,Monday,National Day of the People's Republic of China observed,National holiday
2017-10-04,Wednesday,Mid-Autumn Festival,Observance
2017-10-05,Thursday,Day after Mid-Autumn Festival,National holiday
2017-10-16,Monday,Confucius' Birthday,Observance
2017-10-28,Saturday,Chung Yeung Festival,National holiday
2017-10-31,Tuesday,Halloween,Observance
2017-12-22,Friday,December Solstice,Season
2017-12-25,Monday,Christmas Day,National holiday
2017-12-26,Tuesday,Boxing Day,National holiday
2017-12-31,Sunday,New Year's Eve,Observance
